seas_id,season,player_id,player,pos,age,experience,lg,tm,games,mp,fg_percent,avg_dist_fga,2p_fga_percent,3p_fga_percent,2p_fg_percent,3p_fg_percent
29859,2022,4828,Didi Louzada,SG-SF,22,2,NBA,TOT,9,129,0.364,20,0.303,0.697,0.3,0.391
29860,2022,4828,Didi Louzada,SF,22,2,NBA,NOP,2,7,0,25.1,0,1,0,0
29861,2022,4828,Didi Louzada,SG,22,2,NBA,POR,7,122,0.4,19.4,0.333,0.667,0.3,0.45
29862,2022,4494,Dillon Brooks,SF,26,5,NBA,MEM,32,885,0.432,13.3,0.717,0.283,0.48,0.309
29863,2022,4400,Domantas Sabonis,C-PF,25,6,NBA,TOT,62,2136,0.573,7.6,0.838,0.162,0.623,0.312
29864,2022,4400,Domantas Sabonis,C,25,6,NBA,IND,47,1632,0.58,7.9,0.811,0.189,0.639,0.324
29865,2022,4400,Domantas Sabonis,PF,25,6,NBA,SAC,15,504,0.554,6.8,0.916,0.084,0.584,0.235
29866,2022,4495,Donovan Mitchell,SG,25,5,NBA,UTA,67,2266,0.448,16.7,0.525,0.475,0.533,0.355
29867,2022,4608,Donte DiVincenzo,SG,25,4,NBA,TOT,42,1006,0.351,18.6,0.351,0.649,0.373,0.339
29868,2022,4608,Donte DiVincenzo,SG,25,4,NBA,MIL,17,341,0.331,17.9,0.373,0.627,0.409,0.284
29869,2022,4608,Donte DiVincenzo,SG,25,4,NBA,SAC,25,665,0.362,19,0.339,0.661,0.351,0.368
29870,2022,4401,Dorian Finney-Smith,PF,28,6,NBA,DAL,80,2644,0.471,17,0.371,0.629,0.599,0.395
29871,2022,4237,Doug McDermott,PF,30,8,NBA,SAS,51,1223,0.462,16.6,0.449,0.551,0.512,0.422
29872,2022,4085,Draymond Green,PF,31,10,NBA,GSW,46,1329,0.525,9.8,0.79,0.21,0.586,0.296
29873,2022,4610,Drew Eubanks,C,24,4,NBA,TOT,71,1245,0.596,6.2,0.938,0.062,0.621,0.217
29874,2022,4610,Drew Eubanks,C,24,4,NBA,SAS,49,595,0.528,5.7,0.95,0.05,0.55,0.125
29875,2022,4610,Drew Eubanks,C,24,4,NBA,POR,22,650,0.646,6.6,0.929,0.071,0.675,0.267
