"season","team","abbreviation","playoffs","w","l","mov","o_rtg","d_rtg","n_rtg","pace","f_tr","ts_percent","e_fg_percent","tov_percent","orb_percent","ft_fga","opp_e_fg_percent","opp_tov_percent","opp_drb_percent","opp_ft_fga","championship","conference"
"2019                                              ",Houston Rockets                                   ,HOU       ,TRUE,53.00000,29.00000,4.77000,115.50000,110.70000,4.80000,97.90000,0.27900,0.58100,0.54200,12.00000,22.80000,0.22100,0.52500,13.40000,74.40000,0.21000,FALSE,WEST
"2019                                              ",Indiana Pacers                                    ,IND       ,TRUE,48.00000,34.00000,3.33000,109.90000,106.50000,3.40000,98.10000,0.24200,0.56100,0.53000,12.40000,21.90000,0.18200,0.51600,14.10000,76.20000,0.18400,FALSE,EAST
"2019                                              ",Los Angeles Clippers                              ,LAC       ,TRUE,48.00000,34.00000,0.85000,112.40000,111.50000,0.90000,101.70000,0.32600,0.57500,0.52900,12.70000,22.00000,0.25800,0.51400,11.40000,76.00000,0.22400,FALSE,WEST
"2019                                              ",Los Angeles Lakers                                ,LAL       ,FALSE,37.00000,45.00000,-1.72000,107.80000,109.50000,-1.70000,103.20000,0.25700,0.55400,0.52700,13.40000,22.20000,0.18000,0.51600,12.20000,76.40000,0.19200,FALSE,WEST
"2019                                              ",Memphis Grizzlies                                 ,MEM       ,FALSE,33.00000,49.00000,-2.60000,106.10000,108.80000,-2.70000,96.60000,0.27200,0.54800,0.50800,12.90000,20.00000,0.21000,0.52100,13.90000,77.60000,0.23200,FALSE,WEST
"2019                                              ",Miami Heat                                        ,MIA       ,FALSE,39.00000,43.00000,-0.23000,107.30000,107.60000,-0.30000,98.20000,0.24700,0.54200,0.51500,13.10000,24.80000,0.17200,0.51000,12.70000,77.60000,0.20100,FALSE,EAST
"2019                                              ",Milwaukee Bucks                                   ,MIL       ,TRUE,60.00000,22.00000,8.87000,113.80000,105.20000,8.60000,103.30000,0.25500,0.58300,0.55000,12.00000,20.80000,0.19700,0.50300,11.50000,80.30000,0.16200,FALSE,EAST
"2019                                              ",Minnesota Timberwolves                            ,MIN       ,FALSE,36.00000,46.00000,-1.50000,111.40000,112.90000,-1.50000,100.20000,0.26700,0.55200,0.51100,11.40000,24.60000,0.21000,0.53800,12.90000,74.90000,0.19000,FALSE,WEST
"2019                                              ",New Orleans Pelicans                              ,NOP       ,FALSE,33.00000,49.00000,-1.33000,111.40000,112.60000,-1.20000,103.30000,0.25400,0.56300,0.52900,12.60000,24.10000,0.19300,0.53200,11.60000,76.80000,0.19300,FALSE,WEST
"2019                                              ",New York Knicks                                   ,NYK       ,FALSE,17.00000,65.00000,-9.21000,104.50000,113.70000,-9.20000,99.60000,0.27000,0.52900,0.49000,12.40000,22.10000,0.20500,0.53300,11.70000,76.10000,0.20300,FALSE,EAST
"2019                                              ",Oklahoma City Thunder                             ,OKC       ,TRUE,49.00000,33.00000,3.40000,110.30000,107.00000,3.30000,102.80000,0.26600,0.54500,0.51400,11.70000,26.00000,0.19000,0.52300,14.40000,78.20000,0.20600,FALSE,WEST
"2019                                              ",Orlando Magic                                     ,ORL       ,TRUE,42.00000,40.00000,0.71000,108.90000,108.10000,0.80000,98.10000,0.21600,0.55000,0.51800,11.90000,22.00000,0.16800,0.51500,11.80000,79.70000,0.18600,FALSE,EAST
"2019                                              ",Phoenix Suns                                      ,PHO       ,FALSE,19.00000,63.00000,-9.34000,105.90000,115.10000,-9.20000,100.50000,0.25900,0.55200,0.51400,13.80000,20.50000,0.20200,0.54500,13.50000,72.50000,0.23600,FALSE,WEST
"2019                                              ",Portland Trail Blazers                            ,POR       ,TRUE,53.00000,29.00000,4.20000,114.70000,110.50000,4.20000,99.10000,0.25800,0.56800,0.52800,12.10000,26.60000,0.21000,0.51600,11.00000,77.90000,0.19500,FALSE,WEST
"2019                                              ",Sacramento Kings                                  ,SAC       ,FALSE,39.00000,43.00000,-1.12000,110.40000,111.50000,-1.10000,103.10000,0.24400,0.55400,0.52400,11.50000,23.10000,0.17700,0.53300,13.60000,75.50000,0.20700,FALSE,WEST
"2019                                              ",San Antonio Spurs                                 ,SAS       ,TRUE,48.00000,34.00000,1.68000,112.90000,111.20000,1.70000,98.30000,0.23700,0.57200,0.53400,11.00000,21.00000,0.19400,0.52800,11.00000,79.40000,0.17000,FALSE,WEST
"2019                                              ",Toronto Raptors                                   ,TOR       ,TRUE,58.00000,24.00000,6.09000,113.10000,107.10000,6.00000,100.20000,0.24700,0.57900,0.54300,12.40000,21.90000,0.19800,0.50900,13.10000,77.10000,0.19000,TRUE,EAST
