"season","conference","team","w","l"
"2010                                              ",EAST,Toronto Raptors                                   ,40.00000,42.00000
"2010                                              ",EAST,Indiana Pacers                                    ,32.00000,50.00000
"2010                                              ",EAST,Cleveland Cavaliers                               ,61.00000,21.00000
"2010                                              ",EAST,Brooklyn Nets                                     ,12.00000,70.00000
"2010                                              ",EAST,Washington Wizards                                ,26.00000,56.00000
"2010                                              ",EAST,Orlando Magic                                     ,59.00000,23.00000
"2010                                              ",EAST,Boston Celtics                                    ,50.00000,32.00000
"2010                                              ",WEST,Golden State Warriors                             ,26.00000,56.00000
"2010                                              ",WEST,Minnesota Timberwolves                            ,15.00000,67.00000
"2010                                              ",WEST,Dallas Mavericks                                  ,55.00000,27.00000
"2010                                              ",WEST,Utah Jazz                                         ,53.00000,29.00000
"2010                                              ",WEST,Sacramento Kings                                  ,25.00000,57.00000
"2010                                              ",WEST,Phoenix Suns                                      ,54.00000,28.00000
"2010                                              ",WEST,San Antonio Spurs                                 ,50.00000,32.00000
"2010                                              ",WEST,Memphis Grizzlies                                 ,40.00000,42.00000
"2010                                              ",WEST,Denver Nuggets                                    ,53.00000,29.00000
"2010                                              ",WEST,Houston Rockets                                   ,42.00000,40.00000
"2010                                              ",WEST,Portland Trail Blazers                            ,50.00000,32.00000
"2010                                              ",WEST,Oklahoma City Thunder                             ,50.00000,32.00000
"2010                                              ",WEST,Los Angeles Clippers                              ,29.00000,53.00000
"2010                                              ",WEST,New Orleans Pelicans                              ,37.00000,45.00000
"2010                                              ",WEST,Los Angeles Lakers                                ,57.00000,25.00000
"2011                                              ",EAST,Charlotte Hornets                                 ,34.00000,48.00000
"2011                                              ",EAST,Indiana Pacers                                    ,37.00000,45.00000
"2011                                              ",EAST,Washington Wizards                                ,23.00000,59.00000
"2011                                              ",EAST,Orlando Magic                                     ,52.00000,30.00000
"2011                                              ",EAST,Boston Celtics                                    ,56.00000,26.00000
"2011                                              ",EAST,Brooklyn Nets                                     ,24.00000,58.00000
"2011                                              ",EAST,Cleveland Cavaliers                               ,19.00000,63.00000
"2011                                              ",EAST,Atlanta Hawks                                     ,44.00000,38.00000
"2011                                              ",EAST,Philadelphia 76ers                                ,41.00000,41.00000
"2011                                              ",EAST,Toronto Raptors                                   ,22.00000,60.00000
"2011                                              ",EAST,Miami Heat                                        ,58.00000,24.00000
"2011                                              ",EAST,New York Knicks                                   ,42.00000,40.00000
"2011                                              ",EAST,Detroit Pistons                                   ,30.00000,52.00000
"2011                                              ",EAST,Chicago Bulls                                     ,62.00000,20.00000
"2011                                              ",EAST,Milwaukee Bucks                                   ,35.00000,47.00000
"2011                                              ",WEST,Oklahoma City Thunder                             ,55.00000,27.00000
"2011                                              ",WEST,Los Angeles Clippers                              ,32.00000,50.00000
"2011                                              ",WEST,Houston Rockets                                   ,43.00000,39.00000
"2011                                              ",WEST,Phoenix Suns                                      ,40.00000,42.00000
"2011                                              ",WEST,San Antonio Spurs                                 ,61.00000,21.00000
"2011                                              ",WEST,Portland Trail Blazers                            ,48.00000,34.00000
"2011                                              ",WEST,New Orleans Pelicans                              ,46.00000,36.00000
"2011                                              ",WEST,Denver Nuggets                                    ,50.00000,32.00000
"2011                                              ",WEST,Memphis Grizzlies                                 ,46.00000,36.00000
"2011                                              ",WEST,Los Angeles Lakers                                ,57.00000,25.00000
"2011                                              ",WEST,Dallas Mavericks                                  ,57.00000,25.00000
"2011                                              ",WEST,Golden State Warriors                             ,36.00000,46.00000
"2011                                              ",WEST,Utah Jazz                                         ,39.00000,43.00000
"2011                                              ",WEST,Sacramento Kings                                  ,24.00000,58.00000
"2011                                              ",WEST,Minnesota Timberwolves                            ,17.00000,65.00000
"2012                                              ",EAST,Milwaukee Bucks                                   ,31.00000,35.00000
"2012                                              ",EAST,Brooklyn Nets                                     ,22.00000,44.00000
"2012                                              ",EAST,Atlanta Hawks                                     ,40.00000,26.00000
"2012                                              ",EAST,Washington Wizards                                ,20.00000,46.00000
"2012                                              ",EAST,Orlando Magic                                     ,37.00000,29.00000
"2012                                              ",EAST,Cleveland Cavaliers                               ,21.00000,45.00000
"2012                                              ",EAST,Miami Heat                                        ,46.00000,20.00000
"2012                                              ",EAST,Toronto Raptors                                   ,23.00000,43.00000
"2012                                              ",EAST,Chicago Bulls                                     ,50.00000,16.00000
"2012                                              ",EAST,Detroit Pistons                                   ,25.00000,41.00000
"2012                                              ",EAST,New York Knicks                                   ,36.00000,30.00000
"2012                                              ",EAST,Charlotte Hornets                                 ,7.00000,59.00000
"2012                                              ",EAST,Boston Celtics                                    ,39.00000,27.00000
"2012                                              ",EAST,Indiana Pacers                                    ,42.00000,24.00000
"2012                                              ",EAST,Philadelphia 76ers                                ,35.00000,31.00000
"2012                                              ",WEST,Phoenix Suns                                      ,33.00000,33.00000
"2012                                              ",WEST,Utah Jazz                                         ,36.00000,30.00000
"2012                                              ",WEST,Houston Rockets                                   ,34.00000,32.00000
"2012                                              ",WEST,San Antonio Spurs                                 ,50.00000,16.00000
"2012                                              ",WEST,New Orleans Pelicans                              ,21.00000,45.00000
"2012                                              ",WEST,Denver Nuggets                                    ,38.00000,28.00000
"2012                                              ",WEST,Los Angeles Lakers                                ,41.00000,25.00000
"2012                                              ",WEST,Memphis Grizzlies                                 ,41.00000,25.00000
"2012                                              ",WEST,Oklahoma City Thunder                             ,47.00000,19.00000
"2012                                              ",WEST,Dallas Mavericks                                  ,36.00000,30.00000
"2012                                              ",WEST,Portland Trail Blazers                            ,28.00000,38.00000
"2012                                              ",WEST,Los Angeles Clippers                              ,40.00000,26.00000
"2012                                              ",WEST,Golden State Warriors                             ,23.00000,43.00000
"2012                                              ",WEST,Sacramento Kings                                  ,22.00000,44.00000
"2012                                              ",WEST,Minnesota Timberwolves                            ,26.00000,40.00000
"2013                                              ",EAST,Cleveland Cavaliers                               ,24.00000,58.00000
"2013                                              ",EAST,Philadelphia 76ers                                ,34.00000,48.00000
"2013                                              ",EAST,Miami Heat                                        ,66.00000,16.00000
"2013                                              ",EAST,Chicago Bulls                                     ,45.00000,37.00000
"2013                                              ",EAST,Indiana Pacers                                    ,49.00000,32.00000
"2013                                              ",EAST,New York Knicks                                   ,54.00000,28.00000
"2013                                              ",EAST,Brooklyn Nets                                     ,49.00000,33.00000
"2013                                              ",EAST,Washington Wizards                                ,29.00000,53.00000
"2013                                              ",EAST,Boston Celtics                                    ,41.00000,40.00000
"2013                                              ",EAST,Orlando Magic                                     ,20.00000,62.00000
